Price,Size,Bed,Bath
9500000,1400.0,4,3
6000000,1000.0,3,2
4725000,1050.0,3,2
9800000,1460.0,3,3
4725000,1050.0,3,2
5200000,1250.0,3,3
8000000,1350.0,3,3
6500000,1180.0,3,3
5000000,1250.0,3,3
5200000,1250.0,3,3
5200000,1250.0,3,3
4275000,950.0,2,2
3300000,1157.0,4,2
6115000,1301.0,3,3
6115000,1301.0,3,3
5000000,1250.0,3,3
5000000,1250.0,3,3
5200000,1250.0,3,3
5200000,1250.0,3,3
6500000,1100.0,3,3
8500000,1460.0,3,3
9815000,1510.0,3,3
4600000,900.0,3,2
8000000,1655.0,4,3
3400000,625.0,2,2
7000000,1500.0,3,3
6700000,1125.0,3,3
4500000,1050.0,2,2
6500000,1100.0,3,3
5400000,1300.0,3,3
9815000,1510.0,3,3
9815000,1510.0,3,3
6800000,1200.0,3,3
4275000,950.0,2,2
4440000,925.0,3,2
8840000,1360.0,3,3
8840000,1360.0,3,3
8840000,1360.0,3,3
8840000,1360.0,3,3
8840000,1360.0,3,3
4400000,1050.0,3,3
4500000,1050.0,3,3
8880000,1480.0,3,3
6500000,1180.0,3,3
6200000,1050.0,3,2
6500000,1545.0,3,3
3200000,650.0,2,2
8100000,1415.0,3,3
8100000,1415.0,3,3
8100000,1415.0,3,3
8100000,1415.0,3,3
8100000,1415.0,3,3
8100000,1415.0,3,3
10000000,1480.0,3,3
4792000,1065.0,3,2
4320000,900.0,3,2
8000000,1450.0,3,3
4320000,900.0,3,2
4320000,900.0,3,2
8500000,1500.0,3,3
6000000,1175.0,3,2
11500000,1553.0,3,3
6500000,985.0,3,3
5000000,1000.0,3,2
6000000,1200.0,3,3
4440000,925.0,3,2
6500000,1350.0,3,3
6020000,1038.0,3,2
7256000,1251.0,3,3
5000000,900.0,3,2
10000000,1530.0,3,3
7256000,1251.0,3,3
7430000,1281.0,3,3
7500000,1200.0,3,2
4950000,1100.0,3,3
7000000,1450.0,3,3
4950000,1100.0,3,3
6000000,1175.0,3,2
6700000,1390.0,3,3
7900000,1260.0,3,3
7500000,1127.0,3,3
3600000,970.0,2,2
5000000,1120.0,3,2
3200000,650.0,2,2
4440000,925.0,3,2
5113000,875.0,2,2
8500000,1250.0,3,3
6200000,1050.0,3,2
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
7508000,1365.0,3,3
6600000,1150.0,3,3
7625000,1327.0,3,3
8200000,1510.0,3,3
4800000,980.0,3,2
4500000,1100.0,3,2
4275000,950.0,2,2
9000000,1770.0,3,3
4500000,905.0,2,2
7508000,1365.0,3,3
6000000,1175.0,3,2
9000000,1770.0,3,3
5000000,1050.0,3,2
6000000,1150.0,3,3
5670000,1260.0,3,3
4500000,1100.0,2,2
3500000,1000.0,3,2
2800000,1000.0,3,2
6200000,1103.0,3,2
3800000,815.0,2,2
4100000,825.0,2,2
5650000,1130.0,3,3
4150000,830.0,2,2
6600000,1260.0,3,3
9500000,1365.0,3,3
5000000,900.0,2,2
9000000,1800.0,4,4
3200000,650.0,2,2
3600000,650.0,2,2
3600000,650.0,2,2
3800000,815.0,2,2
4938000,775.0,2,2
5085000,1075.0,3,2
7508000,1365.0,3,3
5000000,1220.0,3,2
4900000,960.0,3,3
3800000,815.0,2,2
3800000,810.0,2,2
7000000,1400.0,3,3
5000000,1260.0,3,3
4000000,900.0,3,2
5513000,1225.0,3,3
4600000,900.0,3,2
8500000,1600.0,3,3
7200000,1430.0,3,3
6400000,1165.0,3,2
5500000,1180.0,3,3
6000000,1200.0,3,3
7800000,1400.0,3,3
5940000,1300.0,3,2
4650000,930.0,2,2
6800000,1250.0,4,4
3400000,625.0,2,2
3400000,625.0,2,2
3400000,625.0,2,2
6800000,1250.0,4,4
3400000,625.0,2,2
3400000,625.0,2,2
5000000,1060.0,3,2
6700000,1430.0,3,3
8000000,1400.0,3,3
4370000,950.0,2,2
7500000,1300.0,3,2
7000000,1220.0,3,3
4370000,950.0,2,2
8500000,1150.0,2,2
3663000,725.0,2,2
11500000,1553.0,3,3
4000000,900.0,2,2
5513000,1225.0,3,3
5750000,1150.0,3,2
2100000,650.0,2,2
2100000,650.0,2,2
3000000,630.0,2,1
4838000,1008.0,3,3
12000000,2260.0,3,3
5513000,1225.0,3,2
3000000,630.0,2,1
3500000,825.0,2,2
7500000,1180.0,2,2
9000000,1550.0,4,4
9600000,1680.0,3,3
9600000,1680.0,3,3
9600000,1680.0,3,3
7000000,1260.0,4,2
3500000,630.0,2,1
3500000,630.0,2,1
4464000,930.0,2,2
9600000,1680.0,3,3
5000000,1220.0,3,2
7500000,1378.0,3,3
4800000,1100.0,3,2
3800000,850.0,2,2
3800000,850.0,2,2
3700000,1000.0,2,2
3700000,1000.0,2,2
3700000,1000.0,2,2
8250000,1375.0,3,3
7500000,1275.0,3,3
3402000,810.0,2,2
7000000,1400.0,3,3
3700000,1000.0,2,2
11500000,1800.0,4,4
3825000,850.0,2,2
3825000,850.0,2,2
3825000,850.0,2,2
5750000,1150.0,3,2
4472000,1040.0,3,3
5513000,1225.0,3,2
5750000,1150.0,3,2
5025000,1005.0,3,2
3250000,700.0,2,2
3200000,728.0,2,2
2300000,600.0,2,2
2300000,600.0,2,2
8500000,1700.0,3,3
3800000,850.0,2,2
8000000,1250.0,3,3
2500000,650.0,2,2
5200000,1005.0,3,2
2000000,600.0,2,1
2000000,600.0,2,1
