Price,Size,Beds,Bath,Location
6409000,1105.0,3,3,Adabor
7700000,1275.0,3,3,Adabor
5460000,1050.0,2,2,Adabor
7200000,1405.0,3,3,Adabor
4500000,900.0,3,2,Adabor
8088000,1348.0,3,3,Adabor
8543000,1473.0,3,3,Adabor
7818000,1348.0,3,3,Adabor
8102000,1473.0,3,3,Adabor
9880000,1520.0,3,3,Adabor
7000000,1050.0,3,3,Adabor
4000000,950.0,2,2,Adabor
9880000,1520.0,3,3,Adabor
6500000,935.0,2,2,Adabor
7414000,1348.0,3,3,Adabor
7929000,1367.0,3,3,Adabor
8202000,1367.0,3,3,Adabor
8838000,1473.0,3,3,Adabor
7200000,1390.0,3,3,Adabor
4500000,900.0,3,2,Adabor
4500000,900.0,3,2,Adabor
7700000,1275.0,3,3,Adabor
4000000,800.0,2,2,Adabor
8000000,1400.0,3,3,Adabor
6500000,1415.0,3,3,Adabor
4500000,800.0,2,2,Adabor
7200000,1200.0,3,3,Adabor
7500000,1050.0,3,3,Adabor
5000000,950.0,2,2,Adabor
6000000,1310.0,3,3,Adabor
3800000,850.0,2,2,Adabor
3500000,750.0,2,2,Adabor
3500000,750.0,2,2,Adabor
3800000,850.0,2,2,Adabor
6700000,1115.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
6250000,1200.0,3,3,Adabor
9100000,1490.0,3,3,Adabor
7000000,1196.0,3,3,Adabor
9100000,1490.0,3,3,Adabor
9100000,1490.0,3,3,Adabor
8200000,1270.0,3,3,Adabor
8761000,1123.0,3,3,Adabor
15656000,2108.0,3,3,Adabor
9419000,1217.0,3,2,Adabor
9419000,1217.0,3,2,Adabor
5500000,950.0,2,2,Adabor
6000000,950.0,2,2,Adabor
5000000,920.0,2,2,Adabor
8600000,1300.0,3,3,Adabor
8900000,1578.0,4,4,Adabor
7700000,1375.0,3,3,Adabor
6700000,1188.0,3,3,Adabor
7900000,1421.0,3,3,Adabor
6850000,1220.0,3,3,Adabor
7850000,1405.0,3,3,Adabor
6850000,1300.0,3,3,Adabor
7850000,1405.0,3,3,Adabor
17000000,2875.0,5,5,Adabor
9300000,1550.0,3,3,Adabor
6350000,1200.0,3,3,Adabor
13200000,2600.0,4,4,Adabor
6850000,1300.0,3,3,Adabor
6700000,1125.0,3,3,Adabor
6500000,1100.0,3,3,Adabor
7685000,1450.0,3,3,Adabor
7685000,1450.0,3,3,Adabor
7685000,1450.0,3,3,Adabor
8450000,1400.0,3,3,Adabor
10075000,1550.0,3,3,Adabor
12900000,1720.0,3,3,Adabor
12900000,1720.0,3,3,Adabor
12165000,1622.0,3,3,Adabor
12165000,1622.0,3,3,Adabor
8300000,1350.0,3,3,Adabor
7000000,1250.0,3,3,Adabor
14000000,2500.0,4,4,Adabor
7000000,1250.0,3,3,Adabor
5200000,950.0,2,2,Adabor
5000000,900.0,2,2,Adabor
10500000,1850.0,4,4,Adabor
4602150,965.0,3,2,Adabor
8000000,1400.0,3,3,Adabor
5580000,1240.0,3,3,Adabor
7150000,1300.0,3,3,Adabor
7425000,1350.0,3,3,Adabor
6409000,1105.0,3,3,Adabor
7900000,1350.0,3,3,Adabor
9800000,1480.0,3,3,Adabor
5000000,1140.0,3,2,Adabor
8400000,1400.0,3,3,Adabor
4500000,900.0,3,2,Adabor
11200000,1750.0,3,4,Adabor
8088000,1348.0,3,3,Adabor
8543400,1473.0,3,3,Adabor
7818400,1348.0,3,3,Adabor
8101500,1473.0,3,3,Adabor
6500000,1175.0,3,2,Adabor
8190000,1300.0,3,3,Adabor
8190000,1300.0,3,3,Adabor
8032500,1275.0,3,3,Adabor
9880000,1520.0,3,3,Adabor
7000000,1050.0,3,3,Adabor
9232600,1378.0,3,3,Adabor
9880000,1520.0,3,3,Adabor
6500000,935.0,2,2,Adabor
11200000,1750.0,3,4,Adabor
11200000,1750.0,3,4,Adabor
7200000,1028.0,2,2,Adabor
7300000,1053.0,2,2,Adabor
8700000,1467.0,3,3,Adabor
6200000,1050.0,2,3,Adabor
7500000,1500.0,4,4,Adabor
7500000,1500.0,4,4,Adabor
3900000,875.0,2,2,Adabor
4500000,750.0,2,2,AftabNagar
4500000,750.0,2,2,AftabNagar
4500000,750.0,2,2,AftabNagar
4500000,750.0,2,2,AftabNagar
8652000,1500.0,3,3,AftabNagar
8800000,1376.0,4,3,AftabNagar
7998999,1380.0,3,3,AftabNagar
9000000,1365.0,3,2,AftabNagar
12000000,1650.0,3,3,AftabNagar
12000000,1550.0,3,3,AftabNagar
8699000,1300.0,3,3,AftabNagar
9600000,1650.0,3,4,AftabNagar
9300000,1500.0,3,3,AftabNagar
9300000,1500.0,3,3,AftabNagar
9300000,1500.0,3,3,AftabNagar
7500000,1350.0,3,3,AftabNagar
6000000,1050.0,2,2,AftabNagar
7650000,1350.0,3,3,AftabNagar
9000000,1400.0,3,3,AftabNagar
12000000,1950.0,4,4,AftabNagar
9000000,1300.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
9785000,1650.0,3,4,AftabNagar
9785000,1650.0,3,4,AftabNagar
5900000,1170.0,3,2,AftabNagar
6500000,1170.0,3,2,AftabNagar
8000000,1368.0,3,3,AftabNagar
11100000,1700.0,3,3,AftabNagar
10000000,1650.0,3,3,AftabNagar
12500000,1900.0,4,4,AftabNagar
14500000,2600.0,6,6,AftabNagar
6500000,1250.0,3,3,AftabNagar
6500000,1250.0,3,3,AftabNagar
6500000,1250.0,3,3,AftabNagar
6500000,1250.0,3,3,AftabNagar
12000000,1550.0,3,3,AftabNagar
8500000,1180.0,3,3,AftabNagar
9800000,1407.0,4,3,AftabNagar
9500000,1300.0,3,3,AftabNagar
5600000,1100.0,3,2,AftabNagar
5000000,970.0,2,2,AftabNagar
7200000,1200.0,3,3,AftabNagar
7200000,1200.0,3,3,AftabNagar
10500000,1460.0,3,2,AftabNagar
8500000,1370.0,3,3,AftabNagar
6500000,1000.0,3,3,AftabNagar
6500000,1000.0,3,3,AftabNagar
6500000,1000.0,3,3,AftabNagar
11000000,1605.0,3,3,AftabNagar
6500000,1000.0,2,3,AftabNagar
5966000,970.0,2,2,AftabNagar
7000000,1100.0,3,2,AftabNagar
7950000,1250.0,3,3,AftabNagar
6500000,1000.0,3,3,AftabNagar
8000000,1250.0,3,3,AftabNagar
8500000,1250.0,3,3,AftabNagar
8250000,1500.0,3,3,AftabNagar
6324000,1010.0,3,2,AftabNagar
6500000,1000.0,3,3,AftabNagar
6111000,970.0,2,2,AftabNagar
9000000,1450.0,3,3,AftabNagar
7000000,1200.0,3,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
15000000,2000.0,4,3,AftabNagar
7800000,1174.0,3,3,AftabNagar
6000000,1000.0,3,3,AftabNagar
11000000,2039.0,5,4,AftabNagar
12900000,1800.0,4,4,AftabNagar
6700000,900.0,2,2,AftabNagar
6700000,900.0,2,2,AftabNagar
12900000,1800.0,4,4,AftabNagar
6700000,900.0,2,2,AftabNagar
6500000,1100.0,3,3,AftabNagar
6000000,1100.0,3,3,AftabNagar
7500000,1340.0,3,3,AftabNagar
9500000,1460.0,3,3,AftabNagar
17500000,2300.0,4,4,AftabNagar
14800000,2340.0,4,4,AftabNagar
8000000,1250.0,3,3,AftabNagar
8000000,1250.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
8400000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
6000000,1036.0,3,2,AftabNagar
16600000,2600.0,5,4,AftabNagar
9500000,1300.0,3,3,AftabNagar
8500000,1250.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
8500000,1370.0,3,3,AftabNagar
6300000,1010.0,3,2,AftabNagar
7500000,1175.0,3,2,AftabNagar
9000000,1350.0,3,3,AftabNagar
7000000,1100.0,3,3,AftabNagar
9200000,1500.0,3,4,AftabNagar
7000000,1400.0,3,3,AftabNagar
7000000,1330.0,3,3,AftabNagar
4400000,870.0,2,2,AftabNagar
8300000,1750.0,4,3,AftabNagar
8300000,1300.0,3,3,AftabNagar
8300000,1300.0,3,3,AftabNagar
8300000,1300.0,3,3,AftabNagar
8300000,1300.0,3,3,AftabNagar
8300000,1300.0,3,3,AftabNagar
7300000,1250.0,3,3,AftabNagar
7300000,1250.0,3,3,AftabNagar
8000000,1375.0,3,3,AftabNagar
7900000,1350.0,3,3,AftabNagar
9500000,1550.0,3,3,AftabNagar
5650000,1150.0,3,3,AftabNagar
5700000,1175.0,3,3,AftabNagar
15500000,2686.0,5,5,AftabNagar
9500000,1550.0,3,3,AftabNagar
5500000,1100.0,3,2,AftabNagar
8500000,1520.0,3,3,AftabNagar
9500000,1650.0,3,4,AftabNagar
9785000,1650.0,3,4,AftabNagar
9785000,1650.0,3,4,AftabNagar
8999000,1550.0,3,3,AftabNagar
6999999,1200.0,3,2,AftabNagar
6650999,1050.0,2,2,AftabNagar
10500000,1674.0,4,3,AftabNagar
10500000,1674.0,4,3,AftabNagar
10500000,1674.0,4,3,AftabNagar
8999999,1408.0,3,3,AftabNagar
7650000,1350.0,3,3,AftabNagar
6500000,1250.0,3,3,AftabNagar
6500000,1250.0,3,3,AftabNagar
8500000,1275.0,3,3,AftabNagar
16120000,2600.0,5,4,AftabNagar
16120000,2600.0,5,4,AftabNagar
8060000,1300.0,3,3,AftabNagar
8060000,1300.0,3,3,AftabNagar
8060000,1300.0,3,3,AftabNagar
8060000,1300.0,3,3,AftabNagar
16120000,2600.0,5,4,AftabNagar
16120000,2600.0,5,4,AftabNagar
7400000,1380.0,3,3,AftabNagar
10895000,1485.0,3,2,AftabNagar
10258000,1394.0,2,2,AftabNagar
11252000,1536.0,3,3,AftabNagar
11950000,1950.0,4,4,AftabNagar
